id,name,map_id,rarity,min_size,max_size,hp,min_dist,max_dist,ring_speed,target_radius,hold_time,gold
FISH_01,피라미,MAP_01,common,5,15,160,25,38,1.8,50,1.5,10
FISH_02,붕어,MAP_01,common,15,35,220,30,48,1.5,45,2.0,25
FISH_03,황금 잉어,MAP_01,epic,50,90,500,50,75,1.0,30,3.5,300
FISH_04,보리멸,MAP_02,common,10,25,180,26,42,1.6,48,1.8,20
FISH_05,농어,MAP_02,rare,40,80,380,42,68,1.2,38,2.8,120
FISH_06,청상아리,MAP_02,epic,180,350,900,85,125,0.8,25,4.5,750
FISH_07,진흙 메기,MAP_03,common,30,60,280,35,55,1.4,40,2.2,50
FISH_08,독가시치,MAP_03,rare,20,40,450,45,75,1.1,35,3.0,180
FISH_09,늪지 크라켄,MAP_03,epic,200,500,1100,100,150,0.7,22,5.0,1200
FISH_10,클라운피시,MAP_04,common,8,15,240,28,44,1.5,45,1.5,60
FISH_11,대왕 다랑어,MAP_04,rare,100,220,750,65,105,1.0,32,3.5,450
FISH_12,화염룡 돗돔,MAP_04,epic,120,250,1350,130,180,0.6,20,5.5,2000
