category,id,name,price,upgrade_cost,stats,desc,pack_size,time_reduction,rare_mod,epic_mod
ROD,ROD_01,대나무 낚싯대,0,100,1.0|1.05|1.1|1.15|1.2,,,,,
ROD,ROD_02,카본 카스틸,800,300,1.2|1.3|1.4|1.5|1.65,,,,,
ROD,ROD_03,발키리 티타늄,4500,1200,1.7|1.85|2.0|2.15|2.35,,,,,
ROD,ROD_04,포세이돈의 삼지창,15000,4000,2.5|2.75|3.0|3.3|3.7,,,,,
REEL,REEL_01,플라스틱 스핀 릴,0,100,3.0|3.3|3.6|3.9|4.2,,,,,
REEL,REEL_02,알루미늄 다이캐스팅,700,250,4.5|4.9|5.3|5.7|6.2,,,,,
REEL,REEL_03,골드 드래그 베이트,4000,1000,6.5|7.1|7.7|8.3|9.0,,,,,
REEL,REEL_04,레비아탄 다이얼,12000,3500,10.0|11.0|12.0|13.0|14.5,,,,,
BOBBER,BOB_01,코르크 원형 찌,0,50,0|1|2|3|5,,,,,
BOBBER,BOB_02,시인성 오렌지 캐미,500,150,3|4|5|6|8,,,,,
BOBBER,BOB_03,레이저 발광 LED찌,3000,800,6|8|10|12|15,,,,,
BOBBER,BOB_04,스마트 수온감지찌,10000,2500,12|15|18|22|28,,,,,
KEEP,KEEP_01,가죽 살림주머니,0,150,5|8|11|15|20,,,,,
KEEP,KEEP_02,대형 와이어 살림망,2000,800,20|25|30|38|50,,,,,
BOAT,BOAT_01,기본 맨발 (도보),0,,,MAP_01 진입 가능,,,,
BOAT,BOAT_02,1인용 고무 보트,1500,,,MAP_02 진입 가능,,,,
BOAT,BOAT_03,구형 목재 어선,6000,,,MAP_03 진입 가능,,,,
BOAT,BOAT_04,쾌속 크루저,25000,,,MAP_04 진입 가능,,,,
BAIT,BAIT_01,기본 떡밥,0,,,,1,0.0,0.0,0.0
BAIT,BAIT_02,붉은 지렁이,50,,,,10,2.0,0.05,0.0
BAIT,BAIT_03,냉동 크릴새우,200,,,,10,4.0,0.1,0.03
BAIT,BAIT_04,야광 갯지렁이,600,,,,10,6.0,0.15,0.07
BAIT,BAIT_05,마스터 골드 루어,2000,,,,10,8.0,0.2,0.15
